record_id,classification,resource_type,resource_id,fingerprint_md5,clinical_audit_set_fingerprint
1a655be4-30ea-44c2-929e-e8c28ea5ba71,clinical_delete_target,cell_classification_run,1b96169c-f827-4a55-adb6-15de5ecd51de,fb5513d2d87c755b1fdddbfdeadefd43,310e78840b955e3ca6e75eb03f0c66c8
1a9d916f-e4d6-423e-9832-405817f53bb3,clinical_delete_target,microscopy_analysis_run,121a69bf-ba23-4014-892b-158b9c2b71a4,71c7babc776daa4743c27b71f17951c6,310e78840b955e3ca6e75eb03f0c66c8
1b08a008-91b5-4bac-a4fc-03e55d3c19fe,clinical_delete_target,microscopy_analysis_run,e109f86a-afaf-4c6b-8831-0fd7fc4fa7b2,fc3a095c94a08b05ac6f1e12120d685a,310e78840b955e3ca6e75eb03f0c66c8
1b190de6-2d02-42c8-9616-5c86500d8f43,clinical_delete_target,smear_slide,ee654b90-4599-4a8b-bb24-bc0279e24f71,86a7b9485d5f5cc65990325777b24895,310e78840b955e3ca6e75eb03f0c66c8
1bef505f-a40a-48b5-88f5-173debf989b0,clinical_delete_target,smear_slide,ebf58866-2333-4575-8819-c3edc9b6b34a,c4b6dd9e49b26ace9ecfd5b780c8169c,310e78840b955e3ca6e75eb03f0c66c8
1c02f3e0-11b5-45f6-aecc-db3f53dc7110,clinical_delete_target,cell_detection_run,60bd296d-21d5-4d22-99bc-a023cb410f35,83e4f49ea6fa2606e9d4b0510affcc4a,310e78840b955e3ca6e75eb03f0c66c8
1c073463-16f9-4fdf-b820-1270b833f73f,clinical_delete_target,quality_assessment_queue_item,210346ac-825b-4b09-a2d8-93a98cd58db7,90711c95ea08c9595caa7792f46e26a6,310e78840b955e3ca6e75eb03f0c66c8
1c23b50f-6f1f-4368-a803-6902733eaaa2,clinical_delete_target,cell_detection_run,ed18ce4e-6fb0-4f1f-b313-c9d76617210c,0afc3e1a8e3744ad9661e5c3a4a3e1c9,310e78840b955e3ca6e75eb03f0c66c8
1c89a344-1718-4f2c-8430-3abb73f9d363,clinical_delete_target,cell_detection_run,1abc6f5a-ce2e-4d43-a7b2-9323cf7efa1c,ebbbf937252cc5bf7b98913b2d8352d2,310e78840b955e3ca6e75eb03f0c66c8
1cc01860-5cf4-494d-8e8f-ae9e859a8737,clinical_delete_target,microscopy_analysis_run,c6209893-144a-447d-a436-fe89fc140cee,c7231c6eb5cdbab257ffc376f1b20ef3,310e78840b955e3ca6e75eb03f0c66c8
1cc411bc-5ae9-42b4-8af3-e9fbced17f92,clinical_delete_target,image_ingestion_batch,550dc255-341c-4bfe-8e56-292451c55a87,02d40ff263d4179d8d1336c4f1bdbec5,310e78840b955e3ca6e75eb03f0c66c8
1ce15897-a768-42f8-a562-debf2d478515,clinical_delete_target,microscopy_image,849d1772-b3d7-402e-82b3-2942cd77a889,92e91c48424e56a031da8bbf9d544717,310e78840b955e3ca6e75eb03f0c66c8
1d2284dc-38d5-448d-ad38-4dd7c75227b9,clinical_delete_target,microscopy_image,0c7ee510-e240-4b6f-b8bc-352c4dd9aa20,a7eaf24820d902ae53bc459a56050538,310e78840b955e3ca6e75eb03f0c66c8
1d2f49b3-1f72-49de-82ea-2c924daa44fe,clinical_delete_target,microscopy_analysis_run,4383bcb6-1595-4b3c-9c6f-ced12863a762,570417528d0f5d1941978b72de8bdbc5,310e78840b955e3ca6e75eb03f0c66c8
1d56524f-85b9-43d1-8952-bd781e934116,clinical_delete_target,cell_classification_run,969cd38e-8f71-4b26-9ae8-3ad200d74eda,55ea6a6328fe930ab934bdec615a6c1d,310e78840b955e3ca6e75eb03f0c66c8
1d83b973-61bd-4cfb-b078-4aeb85de4bc9,clinical_delete_target,cell_detection_run,a78dd7b0-8ddc-4cd7-bc5a-241f8b427de6,bac3bc10f7162d4e8797c9d7c5d2a495,310e78840b955e3ca6e75eb03f0c66c8
1daee9b0-ca63-4338-bf31-04059175d21a,clinical_delete_target,quality_assessment_queue_item,4d36ee2d-54ae-44b3-8c3b-f1021fdc1b88,058ebc3bdd4dd7d94b248ddaee610011,310e78840b955e3ca6e75eb03f0c66c8
1e0f8da4-d2c9-4a97-ac48-5b56a56ca0bb,clinical_delete_target,image_ingestion_batch,f077bd14-18bf-457d-a969-34de97d98ebe,13e31a474aff31c680895c8d1391b3f0,310e78840b955e3ca6e75eb03f0c66c8
1e13f4db-46be-4983-ac39-9d23946a7946,clinical_delete_target,microscopy_image,452e4d39-1e65-4a32-8a6a-e88382ac7aa6,4c25c0406805e2dbdb8448f57b28b350,310e78840b955e3ca6e75eb03f0c66c8
1e382d41-24ac-4ec2-9982-4e67281fc443,clinical_delete_target,quality_assessment_queue_item,f0fabc86-0de1-4ba4-8b50-3396f853ee17,65e7f4dab5f10e7378d617c528ced19a,310e78840b955e3ca6e75eb03f0c66c8
1e70be5b-92ff-4f34-8969-42f5791ad2ee,clinical_delete_target,cell_detection_run,8c8e678b-a6c7-4b8c-b4c0-d34745f32fe3,29f26278d643058bccdf2c9de248a842,310e78840b955e3ca6e75eb03f0c66c8
1e8160e8-1b95-4300-80e6-1673c78439e9,clinical_delete_target,cell_classification_run,49c92f34-7ed4-4adf-938a-a5cd82ef7af5,addf67dc4791dd5adef3a3eb28e0ab57,310e78840b955e3ca6e75eb03f0c66c8
1f2621f8-9f0a-4a73-98c4-00dcb5d2d6fb,clinical_delete_target,cell_detection_run,881590dc-6d13-4137-ba82-d28d2ed5199a,3046982f33f9c00d3ced69c30bed93f9,310e78840b955e3ca6e75eb03f0c66c8
1f2caa98-57fd-4313-8812-23b921c464fe,clinical_delete_target,microscopy_image,25a1a8fb-90d3-4cfb-b43b-20ee3b4b7788,397d0a5588005bf02ffbf7a945abd3b9,310e78840b955e3ca6e75eb03f0c66c8
1f432089-0e07-4f01-83fc-e1e4dbb8a6b2,clinical_delete_target,cell_detection_run,0074b7b4-1a21-4123-9fb0-7a7e78c65792,181da4dacc05c7d7d515280e2981412e,310e78840b955e3ca6e75eb03f0c66c8
1f68f3bc-1a0e-405f-9d48-81fd7c56c12a,clinical_delete_target,scientific_case,d7216dc6-9255-4607-af4e-a8ef4f690170,4c5b041f3b77dfa528b2234883dc1ddd,310e78840b955e3ca6e75eb03f0c66c8
1f6f7c2c-1ae9-492d-92e7-898f2b31840f,clinical_delete_target,quality_assessment_queue_item,9a60975c-af56-40e5-b133-84c69b165fa4,752eede266c9cf00f9e4c72a178a875f,310e78840b955e3ca6e75eb03f0c66c8
1f93f427-0a2c-456a-8499-2ec5e2b003aa,clinical_delete_target,cell_prediction,ac26d220-aeb8-41c7-b0a4-5470bb05e936,abd65e76155f7cb771b1ccde1e9a3359,310e78840b955e3ca6e75eb03f0c66c8
